Time (s),TSI
0.0,0.0
0.1,0.0
0.2,71.34374469403811
0.3,59.301781259122365
0.4,58.03056239782309
0.5,58.47651123961168
0.6,58.645565848359624
0.7,58.59023054218162
0.8,58.703863394791036
0.9,58.88134183780734
1.0,58.88134183780734
1.1,58.939420015220534
1.2,58.939420015220534
1.3,58.939420015220115
1.4,59.049843140839386
1.5,58.939420015220534
1.6,59.04984314083897
1.7,59.16851433144138
1.8,59.116131162045235
1.9,59.116131162045235
2.0,59.22909300221597
2.1,59.286884337997684
2.2,59.28419834047533
2.3,59.28419834047533
2.4,59.28419834047533
2.5,59.286884337997684
2.6,59.40232411108376
2.7,59.347284793019284
2.8,59.45736678874582
2.9,59.344628025846816
3.0,59.45475851225507
3.1,59.45475851225507
3.2,59.507242354237256
3.3,59.45475851225507
3.4,59.514994435494565
3.5,59.45475851225507
3.6,59.512412814460255
3.7,59.45736678874582
3.8,59.56746217666963
3.9,59.50982878845603
4.0,59.62251486380418
4.1,59.45475851225507
4.2,59.682586352402225
4.3,59.57257457303553
4.4,59.682586352402225
4.5,59.63010724658481
4.6,59.62757880942174
4.7,59.57257457303553
4.8,59.62757880942174
4.9,59.62757880942174
5.0,59.690092081420765
5.1,59.747503500409934
5.2,59.80242093482536
5.3,59.80486763287832
5.4,59.747503500409934
5.5,59.80486763287832
5.6,59.747503500409934
5.7,59.747503500409934
5.8,59.80486763287832
5.9,59.74997431731158
6.0,59.747503500409934
6.1,59.74997431731158
6.2,59.80242093482536
6.3,59.80486763287832
6.4,59.74503038236653
6.5,59.80242093482536
6.6,59.919454218178245
6.7,59.92184597349919
6.8,59.919454218178245
6.9,59.8646025910854
7.0,59.86218452381763
7.1,59.8646025910854
7.2,59.86218452381763
7.3,59.86218452381763
7.4,59.919454218178245
7.5,59.92423550308541
7.6,59.97904224607764
7.7,59.98140552954426
7.8,59.98140552954426
7.9,59.98140552954426
8.0,60.0361914536302
8.1,59.92662280991965
8.2,60.0361914536302
8.3,60.09791332252499
8.4,60.09329364092476
8.5,60.09329364092476
8.6,60.14806192741046
8.7,59.98140552954426
8.8,60.09098057067875
8.9,60.0361914536302
9.0,60.08866534362279
9.1,60.09329364092476
9.2,60.09098057067875
9.3,60.09329364092476
9.4,60.150348852688005
9.5,60.150348852688005
9.6,60.20509631170091
9.7,60.09329364092476
9.8,60.14577286918028
9.9,60.262083768255735
10.0,60.20735713360724
10.1,60.150348852688005
10.2,60.20735713360724
10.3,60.209615849181496
10.4,60.264318528326996
10.5,60.209615849181496
10.6,60.264318528326996
10.7,60.209615849181496
10.8,60.26878180339315
10.9,60.3256443867413
11.0,60.3802815629614
11.1,60.3256443867413
11.2,60.26878180339315
11.3,60.323439762204046
11.4,60.264318528326996
11.5,60.26655120577901
11.6,60.3256443867413
11.7,60.271010323944566
11.8,60.323439762204046
11.9,60.382460255729086
12.0,60.26878180339315
12.1,60.26878180339315
12.2,60.4349218411336
12.3,60.26878180339315
12.4,60.3256443867413
12.5,60.386811554157404
12.6,60.43707665251493
12.7,60.38463691855943
12.8,60.38463691855943
12.9,60.38463691855943
13.0,60.43707665251493
13.1,60.382460255729086
13.2,60.49382507528832
13.3,60.44352904255437
13.4,60.49807699808702
13.5,60.44352904255437
13.6,60.44352904255437
13.7,60.44352904255437
13.8,60.44138025055115
13.9,60.44138025055115
14.0,60.4392294547621
14.1,60.49807699808702
14.2,60.49595202820473
14.3,60.44138025055115
14.4,60.49595202820473
14.5,60.44138025055115
14.6,60.4392294547621
14.7,60.4392294547621
14.8,60.49169613669441
14.9,60.44138025055115
15.0,60.55262802038077
15.1,60.386811554157404
15.2,60.49595202820473
15.3,60.50019998757509
15.4,60.49595202820473
15.5,60.49595202820473
15.6,60.49595202820473
15.7,60.44138025055115
15.8,60.61133091681263
15.9,60.55891970696374
16.0,60.55682443342643
16.1,60.55891970696374
16.2,60.55682443342643
16.3,60.613402424274895
16.4,60.61133091681263
16.5,60.502320999302796
16.6,60.66788817641145
16.7,60.66993400424641
16.8,60.55682443342643
16.9,60.61547200052947
17.0,60.61547200052947
17.1,60.55891970696374
17.2,60.66788817641145
17.3,60.55682443342643
17.4,60.66584043802621
17.5,60.67401993840935
17.6,60.66993400424641
17.7,60.66993400424641
17.8,60.728437521606814
17.9,60.67401993840935
18.0,60.66993400424641
18.1,60.61133091681263
18.2,60.66584043802621
18.3,60.67606004979824
18.4,60.728437521606814
18.5,60.78285810786102
18.6,60.786841707084484
18.7,60.73448114988741
18.8,60.728437521606814
18.9,60.726419217426944
19.0,60.73045394341371
19.1,60.678098260758205
19.2,60.845146798137286
19.3,60.7364919395319
19.4,60.73246848534366
19.5,60.73246848534366
19.6,60.784850837132765
19.7,60.73246848534366
19.8,60.784850837132765
19.9,60.67606004979824
20.0,60.78883072017961
20.1,60.73448114988741
20.2,60.78883072017961
20.3,60.7364919395319
20.4,60.79081787887747
20.5,60.73448114988741
20.6,60.786841707084484
20.7,60.73246848534366
20.8,60.84318327331012
20.9,60.90335303149451
21.0,60.84710849150217
21.1,60.79478664289777
21.2,60.84906835582802
21.3,60.79478664289777
21.4,60.90335303149492
21.5,60.84906835582802
21.6,60.84710849150217
21.7,60.9072201522843
21.8,61.01570406831589
21.9,60.90528749379119
22.0,60.95955154254842
22.1,60.90528749379119
22.2,60.90141676300795
22.3,60.79081787887747
22.4,60.899478685939336
22.5,60.95955154254842
22.6,61.013818528450805
22.7,60.95764065854243
22.8,60.95764065854243
22.9,60.95764065854243
23.0,61.066224721296955
23.1,60.955727988780865
23.2,60.953813530900256
23.3,61.01193122560251
23.4,61.12236126621795
23.5,61.06622472129737
23.6,61.06622472129737
23.7,61.01193122560291
23.8,61.06435925759157
23.9,61.01193122560291
24.0,61.06435925759157
24.1,61.01004215743971
24.2,61.06808844013292
24.3,61.01193122560291
24.4,61.1766369953174
24.5,61.12236126621795
24.6,61.118679277831426
24.7,61.008151321624915
24.8,61.1168356947259
24.9,61.118679277831426
25.0,61.22912266621848
25.1,61.06435925759157
25.2,61.17300220674369
25.3,61.17482045301321
25.4,61.118679277831426
25.5,61.17300220674369
25.6,61.171182254254155
25.7,61.1149903826317
25.8,61.22732803290033
25.9,61.230915616030735
26.0,61.22912266621808
26.1,61.1748204530128
26.2,61.22912266621808
26.3,61.17300220674369
26.4,61.281656744862644
26.5,61.17300220674369
26.6,61.22553171384987
26.7,61.22912266621808
26.8,61.39548924932564
26.9,61.28696481062354
27.0,61.28696481062354
27.1,61.28696481062354
27.2,61.39548924932564
27.3,61.341225602685526
27.4,61.339481486642214
27.5,61.339481486642214
27.6,61.342968080491445
27.7,61.398925469292855
27.8,61.39720816715146
27.9,61.342968080491445
28.0,61.39720816715146
28.1,61.39720816715146
28.2,61.39376871368274
28.3,61.44975573911211
28.4,61.44975573911211
28.5,61.50903570692746
28.6,61.50736706498615
28.7,61.50903570692746
28.8,61.50569685023588
28.9,61.50569685023588
29.0,61.50569685023588
29.1,61.45145109420944
29.2,61.50402506060026
29.3,61.50903570692746
29.4,61.617441504365175
29.5,61.50903570692746
29.6,61.50903570692746
29.7,61.50903570692746
29.8,61.50903570692746
29.9,61.29225794848887
30.0,61.18026497702853
30.1,61.23628438664941
30.2,61.29401902066933
30.3,61.456527596187385
30.4,61.619061558788516
30.5,61.619061558788516
30.6,61.5648807694681
30.7,61.619061558788516
30.8,61.67324513466917
30.9,61.50569685023588
31.0,61.55334319056816
31.1,61.54006358126686
31.2,61.59788092947939
31.3,61.485530834849214
31.4,61.48045347153863
31.5,61.41031737903796
31.6,61.30069203574708
31.7,61.449683633857234
31.8,61.32001648071499
