Time (s),TSI
0.0,78.52540444533615
0.1,69.03828714407048
0.2,68.24240669588049
0.3,68.57886913967607
0.4,68.68032700167896
0.5,68.58990466336338
0.6,68.78778772903655
0.7,68.73975793020783
0.8,68.83726119667118
0.9,68.885235374314
1.0,68.93013798956636
1.1,69.06733987587438
1.2,69.07047609896402
1.3,68.98107260231573
1.4,69.03360645307679
1.5,68.98568792414726
1.6,69.13252562538287
1.7,69.13092845789558
1.8,69.17713993821016
1.9,69.31367485551701
2.0,69.31700554363331
2.1,69.32368117740516
2.2,69.42074595474918
2.3,69.36968874047497
2.4,69.51424641304126
2.5,69.46148741808534
2.6,69.51250265428367
2.7,69.60042046891581
2.8,69.60042046891581
2.9,69.51076014221702
3.0,69.60752821767221
3.1,69.55651365860382
3.2,69.55827309230676
3.3,69.55475548218337
3.4,69.60042046891581
3.5,69.59156429657557
3.6,69.60042046891581
3.7,69.51424641304126
3.8,69.6128724013074
3.9,69.5653234310141
4.0,69.6164415816574
4.1,69.5653234310141
4.2,69.70422348761532
4.3,69.69696583523948
4.4,69.75529894495523
4.5,69.66579488845146
4.6,69.71514908487715
4.7,69.71697460228235
4.8,69.71880143387108
4.9,69.6676009031932
5.0,69.85006667045852
5.1,69.74979166487559
5.2,69.75529894495523
5.3,69.71150198612953
5.4,69.70786012467781
5.5,69.70604115390331
5.6,69.70422348761532
5.7,69.70422348761532
5.8,69.79528847598272
5.9,69.74429621835175
6.0,69.75346186738915
6.1,69.75897706083195
6.2,69.7571373422268
6.3,69.70786012467781
6.4,69.65858378598429
6.5,69.70240712420812
6.6,69.74063913999834
6.7,69.74429621835175
6.8,69.70604115390331
6.9,69.6128724013074
7.0,69.7096804015493
7.1,69.6621867491165
7.2,69.7096804015493
7.3,69.6567842415051
7.4,69.79159012305848
7.5,69.74795853668513
7.6,69.75897706083195
7.7,69.71150198612953
7.8,69.81013508797687
7.9,69.7626604685669
8.0,69.80641542870035
8.1,69.75162610790316
8.2,69.78974293262316
8.3,69.74612672171517
8.4,69.75162610790316
8.5,69.65139333733171
8.6,69.69877829962024
8.7,69.65139333733136
8.8,69.64959894040878
8.9,69.69334479432348
9.0,69.78420928593432
9.1,69.59333300480867
9.2,69.64959894040878
9.3,69.60042046891581
9.4,69.69877829962024
9.5,69.64959894040878
9.6,69.64780582641764
9.7,69.6406461682484
9.8,69.63707399584958
9.9,69.54948848114344
10.0,69.60574937332731
10.1,69.60574937332731
10.2,69.55827309230676
10.3,69.60574937332731
10.4,69.6039718014639
10.5,69.64422344092094
10.6,69.69153621460372
10.7,69.6039718014639
10.8,69.6567842415051
10.9,69.60930833606803
11.0,69.65858378598429
11.1,69.65318901876564
11.2,69.69877829962024
11.3,69.73334065181952
11.4,69.73698728876143
11.5,69.6951546673385
11.6,69.69334479432385
11.7,69.59333300480867
11.8,69.64243416626708
11.9,69.54598340520201
12.0,69.68611821934371
12.1,69.67891223573045
12.2,69.63707399584958
12.3,69.54948848114344
12.4,69.55124289499844
12.5,69.5512428949988
12.6,69.55299856149747
12.7,69.54948848114344
12.8,69.68972892659035
12.9,69.63528981834172
13.0,69.64422344092094
13.1,69.6039718014639
13.2,69.6039718014639
13.3,69.60574937332731
13.4,69.65498598629506
13.5,69.65139333733171
13.6,69.74063913999834
13.7,69.69153621460372
13.8,69.65318901876564
13.9,69.6567842415051
14.0,69.65498598629506
14.1,69.55651365860348
14.2,69.60042046891581
14.3,69.54773531839085
14.4,69.63707399584958
14.5,69.59156429657557
14.6,69.54948848114344
14.7,69.54773531839085
14.8,69.59333300480867
14.9,69.59333300480867
15.0,69.59156429657557
15.1,69.54073514766723
15.2,69.63172527290996
15.3,69.59156429657557
15.4,69.50380253013797
15.5,69.50380253013802
15.6,69.55475548218337
15.7,69.5055400707955
15.8,69.60219550051505
15.9,69.64243416626708
16.0,69.68972892659035
16.1,69.55299856149718
16.2,69.60574937332731
16.3,69.6567842415051
16.4,69.65858378598429
16.5,69.61108973008831
16.6,69.60752821767221
16.7,69.6951546673385
16.8,69.64601399378
16.9,69.60574937332731
17.0,69.60930833606803
17.1,69.51076014221702
17.2,69.60574937332731
17.3,69.55299856149718
17.4,69.64780582641764
17.5,69.7388125617926
17.6,69.69153621460372
17.7,69.60219550051505
17.8,69.69877829962024
17.9,69.64959894040878
18.0,69.60042046891581
18.1,69.5968742075194
18.2,69.69153621460372
18.3,69.73151928471421
18.4,69.74063913999868
18.5,69.65318901876564
18.6,69.70422348761532
18.7,69.6567842415051
18.8,69.70604115390331
18.9,69.60752821767221
19.0,69.79528847598272
19.1,69.78789706403839
19.2,69.79528847598272
19.3,69.65858378598429
19.4,69.7571373422268
19.5,69.66038462132374
19.6,69.66038462132337
19.7,69.61108973008831
19.8,69.74795853668513
19.9,69.6951546673385
20.0,69.65139333733136
20.1,69.56003378484382
20.2,69.60752821767221
20.3,69.50901887530334
20.4,69.55475548218337
20.5,69.55124289499844
20.6,69.64422344092094
