Time (s),TSI
0.0,0.0
0.1,74.68603892173954
0.2,63.84496125921901
0.3,62.78616624495904
0.4,63.236453254182415
0.5,63.17993319900268
0.6,63.29208406011656
0.7,63.292084060116984
0.8,63.35016498784402
0.9,63.461291293721885
1.0,63.461291293721885
1.1,63.63006966625216
1.2,63.63075796387202
1.3,63.63144552395789
1.4,63.63075796387202
1.5,63.68755916766579
1.6,63.74426163639087
1.7,63.74362543280366
1.8,63.912101014021005
1.9,63.913220328771345
2.0,64.02782052420193
2.1,64.02017320588762
2.2,63.90703321053203
2.3,64.07805831147681
2.4,64.0242679196318
2.5,63.80390708207234
2.6,63.69348701863191
2.7,63.692831202109765
2.8,63.749326500954226
2.9,63.69414212986114
3.0,63.749326500954226
3.1,63.69283120211017
3.2,63.69217467936855
3.3,63.862602681779116
3.4,63.86144463053382
3.5,63.799644366109085
3.6,64.0288304031321
3.7,64.1384346238028
3.8,64.02426791963138
3.9,64.24814508835068
4.0,64.1384346238028
4.1,64.13430571601938
4.2,64.02324771416505
4.3,64.13568679680304
4.4,64.13752079869252
4.5,64.19306033034775
4.6,64.13797797533012
4.7,64.13797797533012
4.8,64.19262746658141
4.9,64.08241654849347
5.0,64.13752079869252
5.1,64.08241654849347
5.2,64.19478672497249
5.3,64.13934633898528
5.4,64.13934633898567
5.5,64.13889074479415
5.6,64.08337897345585
5.7,64.02832574883989
5.8,64.13980140705762
5.9,64.13980140705762
6.0,64.13980140705762
6.1,64.13980140705762
6.2,64.02933448781903
6.3,64.0288304031321
6.4,64.02933448781863
6.5,64.0288304031321
6.6,64.19564689513886
6.7,64.08481849580711
6.8,64.08433920275526
6.9,64.13980140705762
7.0,64.13980140705762
7.1,64.13934633898565
7.2,64.08433920275526
7.3,64.13934633898528
7.4,64.14070996755679
7.5,64.1402559496883
7.6,64.08529724207224
7.7,64.08529724207224
7.8,64.08529724207224
7.9,64.08481849580711
8.0,64.02983800363896
8.1,64.19564689513886
8.2,64.14116346133851
8.3,64.14070996755679
8.4,64.08577544225696
8.5,64.14070996755679
8.6,64.08529724207224
8.7,64.1402559496883
8.8,64.08529724207224
8.9,64.08433920275526
9.0,64.03034095132921
9.1,64.0288304031321
9.2,64.08385936220779
9.3,64.0288304031321
9.4,64.0288304031321
9.5,64.02832574883989
9.6,64.02832574883945
9.7,64.08385936220779
9.8,64.08529724207224
9.9,64.08481849580711
10.0,64.08529724207224
10.1,64.1402559496883
10.2,64.02983800363896
10.3,63.97433220659694
10.4,64.08481849580711
10.5,64.0288304031321
10.6,64.08577544225696
10.7,64.08577544225696
10.8,64.08577544225696
10.9,64.03034095132921
11.0,64.03034095132921
11.1,64.02983800363896
11.2,64.02983800363896
11.3,63.97380388000224
11.4,64.02933448781903
11.5,64.08577544225696
11.6,64.02983800363896
11.7,64.02933448781863
11.8,63.97433220659694
11.9,63.97380388000224
12.0,63.91877980524237
12.1,63.97380388000224
12.2,63.97380388000224
12.3,64.03084333162585
12.4,63.97538708984871
12.5,64.03034095132921
12.6,63.97538708984871
12.7,63.919884326153856
12.8,63.97538708984871
12.9,63.97485994295698
13.0,63.91933237149713
13.1,63.97643961828544
13.2,64.03134514526285
13.3,63.97538708984871
13.4,63.92043567000739
13.5,63.864911165609264
13.6,63.97538708984871
