Time (s),TSI
0.0,78.7695747407547
0.1,77.0695747407547
0.2,77.7695747407547
0.3,70.39666388467158
0.4,67.59178959000084
0.5,68.19221170944292
0.6,68.27974904892525
0.7,68.17837120827603
0.8,68.08381882477266
0.9,68.18297204428416
1.0,68.47792005270455
1.1,68.28212970796494
1.2,68.37883240945042
1.3,68.5146323900914
1.4,68.3244602111657
1.5,68.2302089992926
1.6,68.37269895007041
1.7,68.27737166666844
1.8,68.2785599487122
1.9,68.51975492773713
2.0,68.51591169342194
2.1,68.52232153196513
2.2,68.51975492773713
2.3,68.42214417286553
2.4,68.47032716594347
2.5,68.42214417286553
2.6,68.65468006003978
2.7,68.51335397230713
2.8,68.46780321208121
2.9,68.51591169342194
3.0,68.56398306911167
3.1,68.56658159236743
3.2,68.60938531250352
3.3,68.65334872963562
3.4,68.46402382164783
3.5,68.56398306911167
3.6,68.65867960319821
3.7,68.56398306911167
3.8,68.56398306911167
3.9,68.70121653487466
4.0,68.60413213558544
4.1,68.56268515932847
4.2,68.65867960319821
4.3,68.61201737295745
4.4,68.51591169342194
4.5,68.61201737295745
4.6,68.70121653487466
4.7,68.41717444218128
4.8,68.56398306911167
4.9,68.56138814928003
5.0,68.61070088578597
5.1,68.56398306911167
5.2,68.74904751387515
5.3,68.69986767876512
5.4,68.51079978897067
5.5,68.56009203784804
5.6,68.55879682391485
5.7,68.60938531250352
5.8,68.56009203784804
5.9,68.69717277419839
6.0,68.55362492089915
6.1,68.51079978897067
6.2,68.55620908408746
6.3,68.55879682391485
6.4,68.6067569030666
6.5,68.65334872963562
6.6,68.69313741912545
6.7,68.5575025063655
6.8,68.55620908408746
6.9,68.5575025063655
7.0,68.6067569030666
7.1,68.56138814928003
7.2,68.6493602743208
7.3,68.55491655596849
7.4,68.56268515932847
7.5,68.5146323900914
7.6,68.41593415217375
7.7,68.46780321208121
7.8,68.46528274785963
7.9,68.60151100102814
8.0,68.45774220628637
8.1,68.51079978897067
8.2,68.50697512806796
8.3,68.50952402121926
8.4,68.5575025063655
8.5,68.60151100102844
8.6,68.69179416329256
8.7,68.55491655596849
8.8,68.50442975076166
8.9,68.55491655596849
9.0,68.50697512806796
9.1,68.5575025063655
9.2,68.642731233344
9.3,68.50061825793928
9.4,68.60282111475465
9.5,68.55362492089915
9.6,68.50442975076166
9.7,68.55491655596849
9.8,68.60020179328265
9.9,68.59366930503678
10.0,68.45523561401784
10.1,68.50824913461665
10.2,68.50570200047993
10.3,68.45899679752884
10.4,68.4085103284329
10.5,68.64538009887731
10.6,68.54589380262217
10.7,68.45899679752884
10.8,68.45774220628637
10.9,68.46150857560312
11.0,68.36780739679782
11.1,68.42090045245565
11.2,68.46150857560312
11.3,68.32446021116601
11.4,68.27737166666844
11.5,68.32808144506195
11.6,68.23724265476957
11.7,68.14247659352081
11.8,68.28332126884867
11.9,68.2360683603263
12.0,68.19337024890498
12.1,68.14703620198094
12.2,68.09722286474607
12.3,68.14817806778333
12.4,68.09946761612845
12.5,68.33899027673579
12.6,68.24430546258866
12.7,68.19801240878536
12.8,68.24312629413058
12.9,68.28690088933914
13.0,68.18297204428416
13.1,68.33049976747255
13.2,68.41717444218128
13.3,68.37269895007041
13.4,68.37269895007041
13.5,68.42090045245565
13.6,68.41717444218128
13.7,68.37025148788969
13.8,68.46025225360913
13.9,68.4085103284329
14.0,68.41345613588162
14.1,68.31603968525484
14.2,68.36414756257025
14.3,68.31724013942427
14.4,68.41345613588162
14.5,68.50061825793922
14.6,68.50188788057811
14.7,68.36292929428343
14.8,68.40727600062813
14.9,68.45774220628637
15.0,68.40727600062847
15.1,68.45648847880702
15.2,68.54460838798579
15.3,68.40480988650084
15.4,68.4060425203352
15.5,68.45273246822718
15.6,68.35685047937403
15.7,68.35927950418927
15.8,68.4968146268321
15.9,68.49301882826829
16.0,68.35200239708587
16.1,68.45023276036774
16.2,68.44898419299899
16.3,68.40234715400663
16.4,68.39988779475917
16.5,68.5394755609036
16.6,68.48923083321769
16.7,68.44898419299899
16.8,68.39743180039865
16.9,68.44773648192074
17.0,68.4968146268321
17.1,68.39988779475917
17.2,68.53307931618076
17.3,68.491755297624
17.4,68.44648962607185
17.5,68.44524362439462
17.6,68.44399847583117
17.7,68.34958332313218
17.8,68.49049263296352
17.9,68.48670982419924
18.0,68.3962050624465
18.1,68.35079244703233
18.2,68.34716754969561
18.3,68.44898419299899
18.4,68.35200239708587
18.5,68.44151073382612
18.6,68.53435681187682
18.7,68.3962050624465
18.8,68.44275417932602
18.9,68.44399847583081
19.0,68.34716754969561
19.1,68.39743180039865
19.2,68.53180269494813
19.3,68.43778549284846
19.4,68.4427541793257
19.5,68.44151073382648
19.6,68.44151073382648
19.7,68.34716754969561
19.8,68.44151073382648
19.9,68.57937677239534
